employer_name;employer_id2;employer_type;employer_id;Позиция в рейтинге;Изменение позиции в рейтинге;Номер лицензии;Регион регистрации;Январь, 2020, тыс. рублей;Декабрь, 2019, тыс. рублей;Изменение, тыс. рублей;Изменение, %
Сбербанк России;;bank;3529;1;0;1481;Москва и обл.;28 894 527 589,00;28 973 297 245,00;-78 769 656,00;-0,27
ВТБ;;bank;4181;2;0;1000;Санкт-Петербург и обл.;14 329 205 070,00;14 483 875 051,00;-154 669 981,00;-1,07
Газпромбанк;;bank;3388;3;0;354;Москва и обл.;6 554 665 558,00;6 614 267 527,00;-59 601 969,00;-0,9
Национальный Клиринговый Центр;;bank;;4;1;3466;Москва и обл.;3 959 360 947,00;3 669 008 617,00;290 352 330,00;7,91
Альфа-Банк;;bank;80;5;-1;1326;Москва и обл.;3 761 758 370,00;3 687 383 320,00;74 375 050,00;2,02
Россельхозбанк;;bank;58320;6;0;3349;Москва и обл.;3 541 806 193,00;3 297 821 385,00;243 984 808,00;7,4
Банк «ФК Открытие»;;bank;23040;7;0;2209;Москва и обл.;2 714 672 202,00;2 486 671 061,00;228 001 141,00;9,17
Московский кредитный банк;;bank;2492;8;0;1978;Москва и обл.;2 518 240 826,00;2 336 368 302,00;181 872 524,00;7,78
Национальный Банк «Траст»;;bank;5186;9;0;3279;Москва и обл.;1 382 958 267,00;1 422 586 170,00;-39 627 903,00;-2,79
Райффайзенбанк;;bank;4023;10;1;3292;Москва и обл.;1 292 865 252,00;1 222 474 196,00;70 391 056,00;5,76
ЮниКредит Банк;;bank;1754;11;-1;1;Москва и обл.;1 244 425 224,00;1 417 952 803,00;-173 527 579,00;-12,24
Росбанк;;bank;599;12;0;2272;Москва и обл.;1 226 365 552,00;1 211 831 538,00;14 534 014,00;1,2
Совкомбанк;;bank;7944;13;0;963;Костромская обл.;1 213 237 203,00;1 189 403 020,00;23 834 183,00;2
Россия;;bank;37261;14;0;328;Санкт-Петербург и обл.;1 012 001 526,00;1 026 998 192,00;-14 996 666,00;-1,46
Банк «Санкт-Петербург»;;bank;3783;15;0;436;Санкт-Петербург и обл.;701 451 089,00;721 126 793,00;-19 675 704,00;-2,73
Всероссийский Банк Развития Регионов;;bank;51;16;0;3287;Москва и обл.;660 552 595,00;660 723 139,00;-170 544,00;-0,03
Тинькофф Банк;;bank;78638;17;2;2673;Москва и обл.;604 466 787,00;562 700 458,00;41 766 329,00;7,42
Ак Барс;;bank;47939;18;-1;2590;Татарстан;603 868 334,00;612 287 305,00;-8 418 971,00;-1,38
Ситибанк;;bank;2383;19;-1;2557;Москва и обл.;558 503 716,00;579 239 280,00;-20 735 564,00;-3,58
Почта Банк;;bank;1049556;20;1;650;Москва и обл.;516 748 693,00;514 203 228,00;2 545 465,00;0,5
Банк Уралсиб;;bank;89;21;-1;30;Москва и обл.;504 469 430,00;531 386 135,00;-26 916 705,00;-5,07
БМ-Банк;;bank;;22;0;2748;Москва и обл.;503 146 800,00;507 431 766,00;-4 284 966,00;-0,84
Новикомбанк;10227;bank;;23;1;2546;Москва и обл.;502 557 298,00;457 395 587,00;45 161 711,00;9,87
СМП Банк;;bank;41296;24;-1;3368;Москва и обл.;480 428 093,00;476 640 479,00;3 787 614,00;0,79
Московский Индустриальный Банк;;bank;1115;25;0;912;Москва и обл.;428 890 890,00;439 484 740,00;-10 593 850,00;-2,41
Московский Областной Банк;39820;bank;;26;0;1751;Москва и обл.;385 110 748,00;436 595 964,00;-51 485 216,00;-11,79
Банк ДОМ.РФ;3443;bank;;27;2;2312;Москва и обл.;344 502 066,00;299 968 986,00;44 533 080,00;14,85
Русский Стандарт;;bank;586;28;-1;2289;Москва и обл.;338 476 154,00;328 897 384,00;9 578 770,00;2,91
Пересвет;48377;bank;;29;-1;2110;Москва и обл.;325 025 614,00;325 671 854,00;-646 240,00;-0,2
Связь-Банк;;bank;2817;30;0;1470;Москва и обл.;302 205 136,00;291 084 487,00;11 120 649,00;3,82
Сургутнефтегазбанк;875499;bank;;31;1;588;Ханты-Мансийский АО — Югра;300 457 346,00;282 218 364,00;18 238 982,00;6,46
Хоум Кредит Банк;;bank;1496;32;1;316;Москва и обл.;281 852 600,00;280 215 065,00;1 637 535,00;0,58
Возрождение;2701;bank;;33;1;1439;Москва и обл.;279 574 947,00;271 299 917,00;8 275 030,00;3,05
Абсолют Банк;;bank;2737;34;-3;2306;Москва и обл.;264 500 328,00;286 960 736,00;-22 460 408,00;-7,83
Уральский Банк Реконструкции и Развития;953;bank;;35;3;429;Свердловская обл.;247 883 838,00;241 727 769,00;6 156 069,00;2,55
Банк Зенит;;bank;404;36;-1;3255;Москва и обл.;243 212 828,00;256 365 625,00;-13 152 797,00;-5,13
Восточный Банк;78961;bank;;37;0;1460;Амурская обл.;238 605 271,00;245 416 970,00;-6 811 699,00;-2,78
РНКБ;;bank;;38;1;1354;Симферополь;219 039 190,00;204 083 804,00;14 955 386,00;7,33
Инвестторгбанк;;bank;;39;3;2763;Москва и обл.;200 169 430,00;198 047 630,00;2 121 800,00;1,07
МТС Банк;;bank;4496;40;1;2268;Москва и обл.;191 358 226,00;198 830 144,00;-7 471 918,00;-3,76
Национальный Расчетный Депозитарий;2999164;bank;;41;-1;3294;Москва и обл.;184 140 081,00;202 241 887,00;-18 101 806,00;-8,95
ИНГ Банк;;bank;;42;-6;2495;Москва и обл.;181 762 937,00;250 166 793,00;-68 403 856,00;-27,34
Ренессанс Кредит;5923;bank;;43;0;3354;Москва и обл.;177 910 509,00;176 887 718,00;1 022 791,00;0,58
ОТП Банк;4394;bank;;44;0;2766;Москва и обл.;169 086 310,00;174 928 613,00;-5 842 303,00;-3,34
Экспресс-Волга;;bank;;45;0;3085;Костромская обл.;167 342 682,00;172 703 554,00;-5 360 872,00;-3,1
Транскапиталбанк;2633;bank;;46;0;2210;Москва и обл.;164 768 930,00;165 512 713,00;-743 783,00;-0,45
Русфинанс Банк;3411;bank;;47;0;1792;Самарская обл.;160 428 656,00;159 522 301,00;906 355,00;0,57
Сетелем Банк;;bank;7588;48;0;2168;Москва и обл.;155 756 741,00;151 018 421,00;4 738 320,00;3,14
Запсибкомбанк;65520;bank;;49;1;918;Тюменская обл.;148 624 075,00;140 757 224,00;7 866 851,00;5,59
Росэксимбанк;;bank;;50;1;2790;Москва и обл.;145 642 488,00;137 305 003,00;8 337 485,00;6,07
Кредит Европа Банк;1947;bank;;51;-2;3311;Москва и обл.;141 938 092,00;148 133 905,00;-6 195 813,00;-4,18
Роскосмосбанк;2598564;bank;;52;0;2989;Москва и обл.;135 515 283,00;135 277 287,00;237 996,00;0,18
МСП Банк;25722;bank;;53;8;3340;Москва и обл.;132 325 382,00;112 385 787,00;19 939 595,00;17,74
Авангард;;bank;;54;-1;2879;Москва и обл.;131 817 553,00;131 980 644,00;-163 091,00;-0,12
Таврический Банк;1059677;bank;;55;3;2304;Санкт-Петербург и обл.;124 580 439,00;119 985 629,00;4 594 810,00;3,83
Центр-инвест;85339;bank;;56;-1;2225;Ростовская обл.;124 047 613,00;125 419 478,00;-1 371 865,00;-1,09
ЦентроКредит;2439;bank;;57;-1;121;Москва и обл.;123 307 299,00;122 237 858,00;1 069 441,00;0,87
Банк Финсервис;39507;bank;;58;-1;3388;Москва и обл.;121 141 523,00;122 006 640,00;-865 117,00;-0,71
Дойче Банк;1641540;bank;;59;9;3328;Москва и обл.;117 581 806,00;90 643 739,00;26 938 067,00;29,72
Азиатско-Тихоокеанский Банк;176941;bank;;60;-6;1810;Амурская обл.;117 374 156,00;130 516 741,00;-13 142 585,00;-10,07
Нордеа Банк;;bank;;61;9;3016;Москва и обл.;116 624 554,00;80 726 040,00;35 898 514,00;44,47
Локо-Банк;1149;bank;;62;-2;2707;Москва и обл.;116 231 240,00;112 865 280,00;3 365 960,00;2,98
Кубань Кредит;200524;bank;;63;-1;2518;Краснодарский край;113 094 105,00;111 015 211,00;2 078 894,00;1,87
РН Банк;740012;bank;;64;-1;170;Москва и обл.;112 333 458,00;109 482 176,00;2 851 282,00;2,6
Аверс;;bank;;65;-6;415;Татарстан;107 902 719,00;113 260 247,00;-5 357 528,00;-4,73
Союз;;bank;;66;-2;2307;Москва и обл.;105 626 156,00;107 353 063,00;-1 726 907,00;-1,61
