employer_group;employer_name;employer_id2;employer_type;employer_id
Центр онлайн-обучения „Нетология-групп“;Центр онлайн-обучения „Нетология-групп“ 51;;IT;855219
ЦНИИАГ;ЦНИИАГ 93;;IT;1075252
Ланит;Datana (ГК ЛАНИТ) 4;https://voronezh.hh.ru/employer/4470218;IT;4470218
Ланит;diHouse (ГК ЛАНИТ) 4;https://voronezh.hh.ru/employer/2651885;IT;2651885
Ланит;Treolan (ГК ЛАНИТ) 13;https://voronezh.hh.ru/employer/2651941;IT;2651941
Ланит;ИНСИСТЕМС (ГК ЛАНИТ) 17;https://voronezh.hh.ru/employer/2651911;IT;2651911
Ланит;ЛАН АТМсервис (ГК ЛАНИТ) 12;https://voronezh.hh.ru/employer/2651937;IT;2651937
Ланит;ЛАНИТ, АО 14;https://voronezh.hh.ru/employer/733;IT;733
Ланит;ЛАНИТ БиПиЭм 10;https://voronezh.hh.ru/employer/2651905;IT;2651905
Ланит;ЛАНИТ- Интеграция 29;https://voronezh.hh.ru/employer/2651938;IT;2651938
Ланит;ЛАНИТ Северо-Запад 3;https://voronezh.hh.ru/employer/2651960;IT;2651960
Ланит;ЛАНИТ-СИБИРЬ, ООО 1;https://voronezh.hh.ru/employer/2247417;IT;2247417
Ланит;ЛАНИТ-ТЕРКОМ 8;https://voronezh.hh.ru/employer/2651962;IT;2651962
Ланит;ЛАНИТ-ТЕХНОЛОГИИ 53;https://voronezh.hh.ru/employer/2651978;IT;2651978
Ланит;ЛАНТЕР (ГК ЛАНИТ) 17;https://voronezh.hh.ru/employer/2651980;IT;2651980
Ланит;ОНЛАНТА (ГК ЛАНИТ) 19;https://voronezh.hh.ru/employer/2651933;IT;2651933
Ланит;Сетевая академия (ГК ЛАНИТ) 2;https://voronezh.hh.ru/employer/2652013;IT;2652013
Epam;EPAM, ООО 2;https://voronezh.hh.ru/employer/29470;IT;29470
Epam;EPAM Systems, Inc. 184;https://voronezh.hh.ru/employer/6769;IT;6769
Softline;Softline 269;https://voronezh.hh.ru/employer/2381;IT;2381
1С**;1C-Битрикс, ООО 28;https://voronezh.hh.ru/employer/129044;IT;129044
1С**;1C-Рарус, ООО 123;https://voronezh.hh.ru/employer/172;IT;172
1С**;1С, ЗАО 83;https://voronezh.hh.ru/employer/882;IT;882
1С**;1С International 5;https://voronezh.hh.ru/employer/3271505;IT;3271505
1С**;1С-АВТОМАТИЗАЦИЯ 1;https://voronezh.hh.ru/employer/3769;IT;3769
1С**;1С:Апрель Софт 19;https://voronezh.hh.ru/employer/71370;IT;71370
1С**;1С-Архитектор бизнеса 11;https://voronezh.hh.ru/employer/2235;IT;2235
1С**;1С БИЗНЕС РЕШЕНИЯ, ООО 12;https://voronezh.hh.ru/employer/1852940;IT;1852940
1С**;1С:ВДГБ, ООО 4;https://voronezh.hh.ru/employer/17954;IT;17954
1С**;1С-ВЕКТРО, ООО 3;https://voronezh.hh.ru/employer/181541;IT;181541
1С**;1С-Галэкс 5;https://voronezh.hh.ru/employer/159758;IT;159758
1С**;1С-ИжТиСи 13;https://voronezh.hh.ru/employer/805729;IT;805729
1С**;1С-Коннект 2;https://voronezh.hh.ru/employer/1227731;IT;1227731
1С**;1С-КПД, ООО 6;https://voronezh.hh.ru/employer/555869;IT;555869
1С**;1С Онлайн Геймс, ООО 24;https://voronezh.hh.ru/employer/2948126;IT;2948126
1С**;1С-Поволжье, ООО 2;https://voronezh.hh.ru/employer/128408;IT;128408
1С**;1С-СофтКлаб, ООО 34;https://voronezh.hh.ru/employer/6376;IT;6376
