employer_group;employer_name;employer_type;employer_id
Газпромбанк;Газпромбанк;bank;3388
Национальный Клиринговый Центр;Национальный Клиринговый Центр;bank;
Альфа-Банк;Альфа-Банк;bank;80
Россельхозбанк;Россельхозбанк;bank;58320
Банк «ФК Открытие»;Банк «ФК Открытие»;bank;23040
Московский кредитный банк;Московский кредитный банк;bank;2492
Национальный Банк «Траст»;Национальный Банк «Траст»;bank;5186
Райффайзенбанк;Райффайзенбанк;bank;4023
ЮниКредит Банк;ЮниКредит Банк;bank;1754
Росбанк;Росбанк;bank;599
Совкомбанк;Совкомбанк;bank;7944
Россия;Россия;bank;37261
Банк «Санкт-Петербург»;Банк «Санкт-Петербург»;bank;3783
Всероссийский Банк Развития Регионов;Всероссийский Банк Развития Регионов;bank;51
Тинькофф Банк;Тинькофф Банк;bank;78638
Ак Барс;Ак Барс;bank;47939
Ситибанк;Ситибанк;bank;2383
Почта Банк;Почта Банк;bank;1049556
Банк Уралсиб;Банк Уралсиб;bank;89
БМ-Банк;БМ-Банк;bank;
Новикомбанк;Новикомбанк;bank;10227
СМП Банк;СМП Банк;bank;41296
Московский Индустриальный Банк;Московский Индустриальный Банк;bank;1115
Московский Областной Банк;Московский Областной Банк;bank;39820
Банк ДОМ.РФ;Банк ДОМ.РФ;bank;3443
Русский Стандарт;Русский Стандарт;bank;586
Пересвет;Пересвет;bank;48377
Связь-Банк;Связь-Банк;bank;2817
Сургутнефтегазбанк;Сургутнефтегазбанк;bank;875499
Хоум Кредит Банк;Хоум Кредит Банк;bank;1496
Возрождение;Возрождение;bank;2701
Абсолют Банк;Абсолют Банк;bank;2737
Уральский Банк Реконструкции и Развития;Уральский Банк Реконструкции и Развития;bank;953
Банк Зенит;Банк Зенит;bank;404
Восточный Банк;Восточный Банк;bank;78961
РНКБ;РНКБ;bank;
Инвестторгбанк;Инвестторгбанк;bank;
МТС Банк;МТС Банк;bank;4496
Национальный Расчетный Депозитарий;Национальный Расчетный Депозитарий;bank;2999164
ИНГ Банк;ИНГ Банк;bank;
Ренессанс Кредит;Ренессанс Кредит;bank;5923
ОТП Банк;ОТП Банк;bank;4394
Экспресс-Волга;Экспресс-Волга;bank;
Транскапиталбанк;Транскапиталбанк;bank;2633
Русфинанс Банк;Русфинанс Банк;bank;3411
Сетелем Банк;Сетелем Банк;bank;7588
Запсибкомбанк;Запсибкомбанк;bank;65520
Росэксимбанк;Росэксимбанк;bank;
Кредит Европа Банк;Кредит Европа Банк;bank;1947
Роскосмосбанк;Роскосмосбанк;bank;2598564
МСП Банк;МСП Банк;bank;25722
Авангард;Авангард;bank;
Таврический Банк;Таврический Банк;bank;1059677
Центр-инвест;Центр-инвест;bank;85339
ЦентроКредит;ЦентроКредит;bank;2439
Банк Финсервис;Банк Финсервис;bank;39507
Дойче Банк;Дойче Банк;bank;1641540
Азиатско-Тихоокеанский Банк;Азиатско-Тихоокеанский Банк;bank;176941
Нордеа Банк;Нордеа Банк;bank;
Локо-Банк;Локо-Банк;bank;1149
Кубань Кредит;Кубань Кредит;bank;200524
РН Банк;РН Банк;bank;740012
Аверс;Аверс;bank;
Союз;Союз;bank;
Металлинвестбанк;Металлинвестбанк;bank;3162
ВУЗ-Банк;ВУЗ-Банк;bank;
СКБ-Банк;СКБ-Банк;bank;33305
Мидзухо Банк;Мидзухо Банк;bank;24215
Эйч-Эс-Би-Си Банк (HSBC);Эйч-Эс-Би-Си Банк (HSBC);bank;
Экспобанк;Экспобанк;bank;798
Тойота Банк;Тойота Банк;bank;46275
Балтинвестбанк;Балтинвестбанк;bank;
Сумитомо Мицуи;Сумитомо Мицуи;bank;
Меткомбанк (Каменск-Уральский);Меткомбанк (Каменск-Уральский);bank;41432
СДМ-Банк;СДМ-Банк;bank;4256
Левобережный;Левобережный;bank;
БКС Банк;БКС Банк;bank;
Эм-Ю-Эф-Джи Банк (Евразия);Эм-Ю-Эф-Джи Банк (Евразия);bank;19908
ББР Банк;ББР Банк;bank;3323
Банк Интеза;Банк Интеза;bank;589
Примсоцбанк;Примсоцбанк;bank;770915
Платежный Центр;Платежный Центр;bank;
АйСиБиСи Банк;АйСиБиСи Банк;bank;68757
Севергазбанк;Севергазбанк;bank;
Крайинвестбанк;Крайинвестбанк;bank;
Коммерцбанк (Евразия);Коммерцбанк (Евразия);bank;8943
Челиндбанк;Челиндбанк;bank;742453
Фора-Банк;Фора-Банк;bank;37151
Киви Банк;Киви Банк;bank;3159173
Челябинвестбанк;Челябинвестбанк;bank;1203065
Росгосстрах Банк;Росгосстрах Банк;bank;3782
Генбанк;Генбанк;bank;632193
Энерготрансбанк;Энерготрансбанк;bank;1097062
Газэнергобанк;Газэнергобанк;bank;110688
Саровбизнесбанк;Саровбизнесбанк;bank;191710
СЭБ Банк;СЭБ Банк;bank;
Аресбанк;Аресбанк;bank;844872
Фольксваген Банк Рус;Фольксваген Банк Рус;bank;
Международный Финансовый Клуб;Международный Финансовый Клуб;bank;49316
БМВ Банк;БМВ Банк;bank;
Мир Бизнес Банк;Мир Бизнес Банк;bank;
Креди Агриколь КИБ;Креди Агриколь КИБ;bank;
Солидарность;Солидарность;bank;64389
Бэнк оф Чайна;Бэнк оф Чайна;bank;
БНП Париба Банк;БНП Париба Банк;bank;
Объединенный Капитал;Объединенный Капитал;bank;
Кольцо Урала;Кольцо Урала;bank;
БыстроБанк;БыстроБанк;bank;
Дальневосточный Банк;Дальневосточный Банк;bank;
Дж. П. Морган Банк;Дж. П. Морган Банк;bank;
Интерпрогрессбанк;Интерпрогрессбанк;bank;
Приморье;Приморье;bank;
Держава;Держава;bank;
Кредит Урал Банк;Кредит Урал Банк;bank;
Плюс Банк;Плюс Банк;bank;
Петербургский Социальный Коммерческий Банк;Петербургский Социальный Коммерческий Банк;bank;
НС Банк;НС Банк;bank;
Алмазэргиэнбанк;Алмазэргиэнбанк;bank;
Национальный Стандарт;Национальный Стандарт;bank;
ЦМРБанк;ЦМРБанк;bank;
МС Банк Рус;МС Банк Рус;bank;
Натиксис Банк;Натиксис Банк;bank;
Чайна Констракшн;Чайна Констракшн;bank;
Голдман Сакс Банк;Голдман Сакс Банк;bank;
Мерседес-Бенц Банк Рус;Мерседес-Бенц Банк Рус;bank;
Урал ФД;Урал ФД;bank;
Интерпромбанк;Интерпромбанк;bank;
Курскпромбанк;Курскпромбанк;bank;
Акибанк;Акибанк;bank;
Экономбанк;Экономбанк;bank;
Хлынов;Хлынов;bank;
Энергобанк;Энергобанк;bank;
Ланта-Банк;Ланта-Банк;bank;
Тольяттихимбанк;Тольяттихимбанк;bank;
Москоммерцбанк;Москоммерцбанк;bank;
